5.868629e-032	2.251829e-049	2.786969e-063	5.826150e-068	5.620579e-092	
6.193301e-032	4.740575e-048	2.242424e-061	2.184074e-066	1.400700e-088	
6.527119e-032	1.676686e-046	5.191183e-059	8.187535e-065	3.490673e-085	
6.869444e-032	1.299978e-044	1.290332e-056	3.070130e-063	8.699079e-082	
7.219530e-032	6.160433e-042	3.220667e-054	3.033333e-061	2.167891e-078	
7.576519e-032	3.403345e-037	2.746140e-051	4.253860e-056	5.402583e-075	
7.939437e-032	4.314989e-031	1.662460e-044	2.302650e-048	1.866729e-071	
2.051400e-031	1.114910e-030	1.324416e-039	8.005353e-049	2.111097e-070	
5.112023e-031	2.876744e-030	4.098720e-031	1.537617e-049	1.963007e-069	
9.651593e-031	5.788136e-030	2.259766e-030	1.516676e-048	8.238503e-068	
1.457190e-030	1.090808e-029	1.244564e-029	1.670791e-047	3.457601e-066	
2.350393e-040	1.643979e-029	6.846471e-029	3.142123e-046	1.453348e-064	
2.788944e-040	1.901563e-029	7.919151e-029	8.153012e-046	1.534479e-063	
3.307107e-040	2.195510e-029	9.143247e-029	2.359483e-045	1.620139e-062	
3.919182e-040	2.530220e-029	1.053709e-028	7.678443e-045	1.710581e-061	
4.642114e-040	2.910502e-029	1.212069e-028	2.761203e-044	1.806072e-060	
5.496068e-040	3.341576e-029	1.391579e-028	1.058972e-043	1.906893e-059	
6.350924e-039	3.829087e-029	1.594589e-028	4.096289e-043	2.013338e-058	
7.787532e-029	4.670275e-028	1.823626e-028	1.350172e-042	2.122466e-057	
1.157562e-028	8.665179e-028	9.886544e-028	6.391456e-041	8.907735e-056	
2.235851e-038	1.285130e-027	5.351725e-027	5.020045e-039	3.744226e-054	
2.638717e-038	1.462153e-027	6.088859e-027	3.542674e-038	3.953242e-053	
3.112879e-038	1.659718e-027	6.911517e-027	4.577600e-037	4.173927e-052	
3.665545e-038	1.879559e-027	7.826927e-027	1.492729e-035	4.407590e-051	
1.203844e-041	2.123453e-027	8.842480e-027	2.207552e-032	5.105898e-050	
1.834116e-035	1.191179e-034	9.965649e-027	1.298341e-025	3.200789e-047	
